순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
10,2023,강원,30,17,383,113,77,193,219,164,13,3,54,10,608.3,47,165,775,256,81,31.6,15874,12758,80.4,218,7199,4667,64.8,3347,3202,95.7,5328,4889,91.8,2775,2140,77.1,4315,3202,74.2,8784,7416,84.4,2232,1117,50,5814,4998,86,7828,6643,84.9,778,159,20.4,63,478,229,47.9,1986,915,46.1,968,290,30,1608,1137,784,2243,797,261,432,380,60,0
3,2023,광주,47,32,465,172,96,197,230,235,19,8,53,16,925,40,181,712,364,130,35.7,18796,16482,87.7,241,7216,5473,75.8,4157,4007,96.4,7423,7002,94.3,3726,3119,83.7,4489,3815,85,10581,9548,90.2,1794,1155,64.4,7051,6428,91.2,9951,8899,89.4,733,160,21.8,123,460,229,49.8,1466,699,47.7,863,270,31.3,1243,1097,612,1917,721,281,423,446,80,0
6,2023,대구,42,30,424,147,92,185,260,164,13,3,64,18,686.7,48,153,731,321,92,28.7,12348,9665,78.3,269,6162,3968,64.4,2259,2157,95.5,3927,3540,90.1,2282,1803,79,3735,2712,72.6,6331,5150,81.3,1953,1037,53.1,3979,3314,83.3,6416,5314,82.8,708,182,25.7,72,578,286,49.5,1759,894,50.8,990,307,31,1429,1057,715,2030,754,264,444,397,81,2
8,2023,대전,56,41,392,146,84,162,217,175,15,2,67,21,1018.6,48,161,786,293,100,34.1,16931,13741,81.2,240,7428,4804,64.7,3753,3612,96.2,5750,5325,92.6,3221,2552,79.2,4188,3146,75.1,9522,8043,84.5,2397,1212,50.6,5540,4794,86.5,8994,7735,86,811,175,21.6,97,465,209,44.9,2047,1014,49.5,960,331,34.5,1521,1246,719,2302,736,286,443,387,73,1
7,2023,서울,63,28,491,176,94,221,275,216,13,9,59,21,1291.7,51,182,869,236,87,36.9,21691,18975,87.5,288,8654,6522,75.4,5016,4869,97.1,8021,7584,94.6,3828,3164,82.7,5651,4847,85.8,12212,10964,89.8,2024,1215,60,8238,7492,90.9,11429,10268,89.8,908,214,23.6,90,464,266,57.3,1573,776,49.3,761,252,33.1,1318,1099,673,2053,769,250,368,344,66,1
12,2023,수원,35,22,410,130,99,181,239,171,18,10,45,16,831.7,47,143,780,258,98,38,17670,14697,83.2,229,7372,5010,68,3756,3615,96.2,6542,6072,92.8,2836,2194,77.4,4887,3963,81.1,9947,8540,85.9,2161,1163,53.8,5944,5216,87.8,9565,8318,87,665,133,20,109,506,263,52,1873,911,48.6,867,278,32.1,1475,1097,696,2119,651,271,398,420,76,2
11,2023,수원FC,44,32,460,151,94,215,243,217,13,4,54,14,573.3,41,136,649,225,78,34.7,18472,15617,84.5,289,7856,5577,71,4078,3928,96.3,6538,6112,93.5,3038,2423,79.8,5207,4223,81.1,10227,8971,87.7,2592,1562,60.3,6690,5964,89.1,9190,8091,88,750,202,26.9,89,463,211,45.6,1778,916,51.5,929,264,28.4,1344,1158,675,2059,661,264,386,401,63,3
1,2023,울산,63,40,466,197,67,202,301,165,8,5,45,12,641.7,70,217,742,215,74,34.4,22551,19800,87.8,283,8589,6459,75.2,5314,5150,96.9,8648,8191,94.7,5088,4290,84.3,4899,4216,86.1,12564,11294,89.9,2110,1334,63.2,7766,7054,90.8,12675,11412,90,867,189,21.8,122,501,254,50.7,1583,804,50.8,861,281,32.6,1166,1177,659,2123,646,246,374,377,74,0
5,2023,인천,46,34,425,146,79,200,250,175,12,2,39,5,300,46,192,784,271,103,38,17668,14615,82.7,244,7495,5015,66.9,3988,3843,96.4,6185,5757,93.1,3125,2554,81.7,4753,3663,77.1,9790,8398,85.8,2191,1087,49.6,5801,5050,87.1,9676,8478,87.6,717,154,21.5,113,524,271,51.7,1669,849,50.9,789,269,34.1,1455,1225,699,2199,748,299,393,345,66,2
4,2023,전북,45,24,449,153,89,207,278,171,11,6,51,12,683.3,52,166,798,251,91,36.3,17747,14832,83.6,261,7632,5321,69.7,3563,3440,96.5,6552,6071,92.7,3355,2590,77.2,4388,3631,82.7,10004,8611,86.1,2015,1111,55.1,6328,5524,87.3,9404,8197,87.2,791,187,23.6,102,556,279,50.2,1952,1021,52.3,864,281,32.5,1484,1135,640,2159,719,271,451,355,68,1
9,2023,제주,43,23,442,172,82,188,274,168,17,2,69,24,1100,76,187,774,273,98,35.9,18233,15316,84,243,7454,5112,68.6,4022,3885,96.6,6757,6319,93.5,3324,2651,79.8,4341,3521,81.1,10568,9144,86.5,2284,1288,56.4,6019,5285,87.8,9930,8743,88,857,202,23.6,148,444,213,48,1742,917,52.6,840,301,35.8,1309,1258,654,2152,628,289,393,424,73,0
2,2023,포항,53,36,460,173,102,185,258,202,9,2,64,21,925,52,142,767,226,77,34.1,20496,17648,86.1,285,7923,5638,71.2,4505,4377,97.2,8068,7633,94.6,3242,2601,80.2,5475,4582,83.7,11779,10465,88.8,2437,1531,62.8,7743,6980,90.1,10316,9137,88.6,807,197,24.4,91,549,284,51.7,1532,764,49.9,870,278,32,1217,1222,720,2064,737,260,387,430,61,3
