순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,울산,38,72,21,9,8,62,40,22,승 무 승 승 무
2,강원,38,64,19,7,12,62,56,6,승 패 패 승 승
3,김천,38,63,18,9,11,55,41,14,패 승 승 패 무
4,서울,38,58,16,10,12,55,42,13,승 무 무 승 패
5,수원FC,38,53,15,8,15,54,57,-3,패 승 패 패 무
6,포항,38,53,14,11,13,53,50,3,패 패 무 패 무
7,제주,38,49,15,4,19,38,54,-16,패 무 무 승 승
8,대전,38,48,12,12,14,43,47,-4,승 승 무 승 승
9,광주,38,47,14,5,19,42,49,-7,무 무 무 패 무
10,전북,38,42,10,12,16,49,59,-10,무 승 무 패 패
11,대구,38,40,9,13,16,45,52,-7,패 패 무 패 무
12,인천,38,39,9,12,17,38,49,-11,승 패 무 승 패